win_team,lose_team,probability,WLoc
Toronto Raptors,Charlotte Hornets,0.8134218722074179,H
Utah Jazz,Memphis Grizzlies,0.9730410591846947,H
Denver Nuggets,Sacramento Kings,0.7324807004230391,H
Philadelphia 76ers,Detroit Pistons,0.8853716677405807,V
Los Angeles Clippers,New Orleans Pelicans,0.9464824139967938,V
Dallas Mavericks,Atlanta Hawks,0.512377465748858,V
Charlotte Hornets,Chicago Bulls,0.8028647887288564,V
Cleveland Cavaliers,Brooklyn Nets,0.9727989117829097,H
Golden State Warriors,Washington Wizards,0.586574642671686,H
Houston Rockets,Utah Jazz,0.8598005426370823,H
Miami Heat,New York Knicks,0.937674898707224,H
Milwaukee Bucks,Philadelphia 76ers,0.6215493869536953,H
Los Angeles Lakers,Phoenix Suns,0.6191423645815003,V
Sacramento Kings,Memphis Grizzlies,0.6574863841325456,H
Indiana Pacers,San Antonio Spurs,0.7253077386065558,V
Toronto Raptors,Minnesota Timberwolves,0.8212769884579793,H
Detroit Pistons,Cleveland Cavaliers,0.8916712561543084,H
Denver Nuggets,Los Angeles Lakers,0.7150143127879689,V
Oklahoma City Thunder,Boston Celtics,0.5390252600757826,H
Portland Trail Blazers,Orlando Magic,0.5746249938129574,V
Charlotte Hornets,Chicago Bulls,0.9580947337717968,H
Houston Rockets,Los Angeles Clippers,0.9027149067541905,H
Minnesota Timberwolves,Milwaukee Bucks,0.5285469281120627,H
Brooklyn Nets,New Orleans Pelicans,0.7630752152941235,V
Golden State Warriors,New York Knicks,0.6600676551590944,V
Washington Wizards,Sacramento Kings,0.8253647621701922,V
Toronto Raptors,Dallas Mavericks,0.9950225928722155,H
Chicago Bulls,Atlanta Hawks,0.5795546104210232,V
Cleveland Cavaliers,Indiana Pacers,0.551751795656528,H
Boston Celtics,Detroit Pistons,0.8581896007765119,V
Memphis Grizzlies,Phoenix Suns,0.9399590934813958,H
Miami Heat,Portland Trail Blazers,0.6572459072857693,H
Milwaukee Bucks,Orlando Magic,0.9823125501752233,H
Utah Jazz,New Orleans Pelicans,0.963975574476493,V
Philadelphia 76ers,Charlotte Hornets,0.5929782041538688,H
San Antonio Spurs,Los Angeles Lakers,0.6283712947484802,H
Golden State Warriors,Brooklyn Nets,0.9097761087998525,V
Utah Jazz,Dallas Mavericks,0.739702621688473,V
Los Angeles Clippers,Washington Wizards,0.8013902084077913,H
Oklahoma City Thunder,Phoenix Suns,0.9187770114749542,H
Golden State Warriors,Chicago Bulls,0.8018787590142734,V
New Orleans Pelicans,Denver Nuggets,0.9552610777615699,V
Portland Trail Blazers,Indiana Pacers,0.8072446837454219,V
Miami Heat,Sacramento Kings,0.9272009563726135,H
Milwaukee Bucks,Toronto Raptors,0.7007889471673715,H
Minnesota Timberwolves,Los Angeles Lakers,0.6902656288404443,H
New York Knicks,Brooklyn Nets,0.8123043377149212,H
Philadelphia 76ers,Atlanta Hawks,0.675640944882858,H
San Antonio Spurs,Dallas Mavericks,0.983517139077448,H
Boston Celtics,Detroit Pistons,0.8327011605441663,H
Charlotte Hornets,Miami Heat,0.7327461815026414,H
Cleveland Cavaliers,Atlanta Hawks,0.8580969504358684,H
Houston Rockets,Portland Trail Blazers,0.8761041496058783,H
Memphis Grizzlies,Washington Wizards,0.8493420059952635,H
Oklahoma City Thunder,Los Angeles Clippers,0.7437133169196788,H
Orlando Magic,Sacramento Kings,0.8309922689809083,H
Toronto Raptors,Philadelphia 76ers,0.6794446058871805,H
Detroit Pistons,Brooklyn Nets,0.8621768165693899,V
Denver Nuggets,Chicago Bulls,0.7620238054161181,V
New Orleans Pelicans,Golden State Warriors,0.9195303896474261,V
Los Angeles Lakers,Dallas Mavericks,0.9349358131493524,H
Minnesota Timberwolves,Utah Jazz,0.635780155315939,H
Indiana Pacers,New York Knicks,0.8703566647811821,V
San Antonio Spurs,Phoenix Suns,0.6860100983017474,V
